Date,Opponents,Attendance
02/09/1984,Rochdale,1425
09/09/1984,Fulham,1145
23/09/1984,Salford,1159
14/10/1984,Runcorn,1076
28/10/1984,Bridgend,826
04/11/1984,Wakefield,1279
11/11/1984,Dewsbury,909
02/12/1984,Batley,835
16/12/1984,Blackpool,513
30/12/1984,Doncaster,803
17/02/1985,Warrington,1479
10/03/1985,Carlisle,610
29/03/1985,Swinton,1146
05/04/1985,Mansfield,594
17/04/1985,Keighley,628
28/04/1985,Whitehaven,714
01/09/1985,Doncaster,504
15/09/1985,Mansfield,609
22/09/1985,Wakefield,1242
06/10/1985,Runcorn,496
20/10/1985,Rochdale,1658
03/11/1985,Keighley,514
17/11/1985,Whitehaven,714
24/11/1985,Bradford,1342
15/12/1985,Hunslet,645
12/01/1986,Bramley,400
19/01/1986,Leigh,1000
16/03/1986,Blackpool,400
30/03/1986,Huddersfield,650
13/04/1986,Batley,600
20/04/1986,Fulham,700
27/04/1986,Carlisle,650
05/05/1986,Workington,500
07/05/1986,Barrow,600
31/08/1986,Mansfield,594
03/09/1986,Doncaster,654
14/09/1986,Dewsbury,641
28/09/1986,Dewsbury,522
01/10/1986,Huddersfield,686
12/10/1986,Carlisle,412
26/10/1986,York,507
09/11/1986,Fulham,564
23/11/1986,Batley,567
30/11/1986,Bramley,415
07/12/1986,Barrow,513
18/01/1987,Bramley,709
25/01/1987,Swinton,880
05/02/1987,Keighley,375
08/02/1987,Workington,341
01/03/1987,Keighley,393
29/03/1987,Hunslet,1211
12/04/1987,Runcorn,609
19/04/1987,Doncaster,1922
06/09/1987,Rochdale,752
27/09/1987,Whitehaven,721
07/10/1987,Bramley,426
18/10/1987,Wakefield,1183
08/11/1987, Mansfield,495
22/11/1987,Featherstone,785
29/11/1987,Fulham,466
13/12/1987,York,480
10/01/1988,Barrow,483
24/01/1988,Carlisle,446
28/02/1988,Batley,583
06/03/1988,Dewsbury,462
27/03/1988,Oldham,2316
10/04/1988,Doncaster,2397
28/08/1988,Bramley,700
31/08/1988,Wakefield,1356
11/09/1988,Barrow,365
21/09/1988,Mansfield,380
16/10/1988,Leigh,903
23/10/1988,Batley,515
26/10/1988,York,481
06/11/1988,Keighley,484
13/11/1988,Wigan St Pats,621
27/11/1988,Widnes,2716
18/12/1988,Dewsbury,814
22/01/1989,Swinton,1034
29/01/1989,Leigh,1898
12/02/1989,Oldham,3636
19/02/1989,Huddersfield,774
05/03/1989,Doncaster,2254
12/03/1989,Hunslet,774
26/03/1989,Fulham,1005
02/04/1989,Chorley,1252
23/04/1989,Doncaster,1725
03/09/1989,St Helens,6200
08/10/1989,Widnes,8636
29/10/1989,Leeds,4622
05/11/1989,Wigan,7642
19/11/1989,Bradford,2986
01/12/1989,Rochdale,2307
17/12/1989,Castleford,3014
03/01/1990,Featherstone,2756
07/01/1990,Warrington,1298
04/02/1990,Wakefield,5104
25/02/1990,Barrow,1002
04/03/1990,Leigh,1106
09/03/1990,Castleford,4169
25/03/1990,Salford,1121
15/04/1990,Hull,5856
26/09/1990,Wakefield,7984
30/09/1990,Warrington,4920
14/10/1990,Oldham,5189
30/10/1990,Bradford,4119
18/11/1990,Bradford,2788
16/12/1990,Leeds,4714
23/12/1990,St Helens,3111
06/01/1991,Wigan,4814
20/01/1991,Rochdale,2160
30/01/1991,Hull,2847
03/02/1991,Featherstone,3206
17/02/1991,Featherstone,2910
24/02/1991,Salford,1990
10/03/1991,Castleford,3840
24/03/1991,Hull,3104
31/03/1991,Hull KR,2684
06/04/1991,Widnes,2578
01/09/1991,Oldham,3454
16/09/1991,Bradford,2012
06/10/1991,Workington,1488
23/10/1991,Rochdale,1645
03/11/1991,Scarborough,1226
06/11/1991,Carlisle,1228
15/12/1991,Leigh,1913
29/12/1991,R-York,1702
09/02/1992,Hull,3227
16/02/1992,Workington,1531
27/02/1992,London C,1315
01/03/1992,Oldham,2529
09/03/1992,Rochdale,3849
22/03/1992,Leigh,3228
05/04/1992,Carlisle,6393
12/04/1992,London C,1940
19/04/1992,R-York,2872
25/04/1992,Keighley,1225
10/05/1992,Batley,2512
28/08/1992,Wigan,5950
11/09/1992,Halifax,3596
20/09/1992,Bradford,4286
04/10/1992,Castleford,3896
06/10/1992,Hull,3017
14/10/1992,Australia,5500
22/10/1992,Warrington,1662
15/11/1992,Hull KR,1712
22/11/1992,Widnes,2158
13/12/1992,Leeds,4777
06/01/1993,Halifax,2404
24/01/1993,Salford,2278
31/01/1993,Leigh,2408
14/02/1993,Widnes,3407
19/02/1993,Leigh,1982
12/03/1993,Bradford,2842
28/03/1993,Wakefield,3245
11/04/1993,Hull,2706
05/09/1993,Castleford,3046
19/09/1993,Halifax,4005
03/10/1993,Wakefield,3096
10/10/1993,Featherstone,3059
31/10/1993,Hull,2244
28/11/1993,Warrington,3284
05/12/1993,Leeds,3521
22/12/1993,Salford,1605
02/01/1994,Hull KR,2151
16/01/1994,Bradford,3544
30/01/1994,Leigh,1676
06/02/1994,Oldham,2400
11/03/1994,St Helens,2729
