,Date,Opponents,Attendance,Year,month,month_name,Day
0,1984-09-02,Rochdale,1425,1984,9,September,Sunday
1,1984-09-09,Fulham,1145,1984,9,September,Sunday
2,1984-09-23,Salford,1159,1984,9,September,Sunday
3,1984-10-14,Runcorn,1076,1984,10,October,Sunday
4,1984-10-28,Bridgend,826,1984,10,October,Sunday
5,1984-11-04,Wakefield,1279,1984,11,November,Sunday
6,1984-11-11,Dewsbury,909,1984,11,November,Sunday
7,1984-12-02,Batley,835,1984,12,December,Sunday
8,1984-12-16,Blackpool,513,1984,12,December,Sunday
9,1984-12-30,Doncaster,803,1984,12,December,Sunday
10,1985-02-17,Warrington,1479,1985,2,February,Sunday
11,1985-03-10,Carlisle,610,1985,3,March,Sunday
12,1985-03-29,Swinton,1146,1985,3,March,Friday
13,1985-04-05,Mansfield,594,1985,4,April,Friday
14,1985-04-17,Keighley,628,1985,4,April,Wednesday
15,1985-04-28,Whitehaven,714,1985,4,April,Sunday
16,1985-09-01,Doncaster,504,1985,9,September,Sunday
17,1985-09-15,Mansfield,609,1985,9,September,Sunday
18,1985-09-22,Wakefield,1242,1985,9,September,Sunday
19,1985-10-06,Runcorn,496,1985,10,October,Sunday
20,1985-10-20,Rochdale,1658,1985,10,October,Sunday
21,1985-11-03,Keighley,514,1985,11,November,Sunday
22,1985-11-17,Whitehaven,714,1985,11,November,Sunday
23,1985-11-24,Bradford,1342,1985,11,November,Sunday
24,1985-12-15,Hunslet,645,1985,12,December,Sunday
25,1986-01-12,Bramley,400,1986,1,January,Sunday
26,1986-01-19,Leigh,1000,1986,1,January,Sunday
27,1986-03-16,Blackpool,400,1986,3,March,Sunday
28,1986-03-30,Huddersfield,650,1986,3,March,Sunday
29,1986-04-13,Batley,600,1986,4,April,Sunday
30,1986-04-20,Fulham,700,1986,4,April,Sunday
31,1986-04-27,Carlisle,650,1986,4,April,Sunday
32,1986-05-05,Workington,500,1986,5,May,Monday
33,1986-05-07,Barrow,600,1986,5,May,Wednesday
34,1986-08-31,Mansfield,594,1986,8,August,Sunday
35,1986-09-03,Doncaster,654,1986,9,September,Wednesday
36,1986-09-14,Dewsbury,641,1986,9,September,Sunday
37,1986-09-28,Dewsbury,522,1986,9,September,Sunday
38,1986-10-01,Huddersfield,686,1986,10,October,Wednesday
39,1986-10-12,Carlisle,412,1986,10,October,Sunday
40,1986-10-26,York,507,1986,10,October,Sunday
41,1986-11-09,Fulham,564,1986,11,November,Sunday
42,1986-11-23,Batley,567,1986,11,November,Sunday
43,1986-11-30,Bramley,415,1986,11,November,Sunday
44,1986-12-07,Barrow,513,1986,12,December,Sunday
45,1987-01-18,Bramley,709,1987,1,January,Sunday
46,1987-01-25,Swinton,880,1987,1,January,Sunday
47,1987-02-05,Keighley,375,1987,2,February,Thursday
48,1987-02-08,Workington,341,1987,2,February,Sunday
49,1987-03-01,Keighley,393,1987,3,March,Sunday
50,1987-03-29,Hunslet,1211,1987,3,March,Sunday
51,1987-04-12,Runcorn,609,1987,4,April,Sunday
52,1987-04-19,Doncaster,1922,1987,4,April,Sunday
53,1987-09-06,Rochdale,752,1987,9,September,Sunday
54,1987-09-27,Whitehaven,721,1987,9,September,Sunday
55,1987-10-07,Bramley,426,1987,10,October,Wednesday
56,1987-10-18,Wakefield,1183,1987,10,October,Sunday
57,1987-11-08, Mansfield,495,1987,11,November,Sunday
58,1987-11-22,Featherstone,785,1987,11,November,Sunday
59,1987-11-29,Fulham,466,1987,11,November,Sunday
60,1987-12-13,York,480,1987,12,December,Sunday
61,1988-01-10,Barrow,483,1988,1,January,Sunday
62,1988-01-24,Carlisle,446,1988,1,January,Sunday
63,1988-02-28,Batley,583,1988,2,February,Sunday
64,1988-03-06,Dewsbury,462,1988,3,March,Sunday
65,1988-03-27,Oldham,2316,1988,3,March,Sunday
66,1988-04-10,Doncaster,2397,1988,4,April,Sunday
67,1988-08-28,Bramley,700,1988,8,August,Sunday
68,1988-08-31,Wakefield,1356,1988,8,August,Wednesday
69,1988-09-11,Barrow,365,1988,9,September,Sunday
70,1988-09-21,Mansfield,380,1988,9,September,Wednesday
71,1988-10-16,Leigh,903,1988,10,October,Sunday
72,1988-10-23,Batley,515,1988,10,October,Sunday
73,1988-10-26,York,481,1988,10,October,Wednesday
74,1988-11-06,Keighley,484,1988,11,November,Sunday
75,1988-11-13,Wigan St Pats,621,1988,11,November,Sunday
76,1988-11-27,Widnes,2716,1988,11,November,Sunday
77,1988-12-18,Dewsbury,814,1988,12,December,Sunday
78,1989-01-22,Swinton,1034,1989,1,January,Sunday
79,1989-01-29,Leigh,1898,1989,1,January,Sunday
80,1989-02-12,Oldham,3636,1989,2,February,Sunday
81,1989-02-19,Huddersfield,774,1989,2,February,Sunday
82,1989-03-05,Doncaster,2254,1989,3,March,Sunday
83,1989-03-12,Hunslet,774,1989,3,March,Sunday
84,1989-03-26,Fulham,1005,1989,3,March,Sunday
85,1989-04-02,Chorley,1252,1989,4,April,Sunday
86,1989-04-23,Doncaster,1725,1989,4,April,Sunday
87,1989-09-03,St Helens,6200,1989,9,September,Sunday
88,1989-10-08,Widnes,8636,1989,10,October,Sunday
89,1989-10-29,Leeds,4622,1989,10,October,Sunday
90,1989-11-05,Wigan,7642,1989,11,November,Sunday
91,1989-11-19,Bradford,2986,1989,11,November,Sunday
92,1989-12-01,Rochdale,2307,1989,12,December,Friday
93,1989-12-17,Castleford,3014,1989,12,December,Sunday
94,1990-01-03,Featherstone,2756,1990,1,January,Wednesday
95,1990-01-07,Warrington,1298,1990,1,January,Sunday
96,1990-02-04,Wakefield,5104,1990,2,February,Sunday
97,1990-02-25,Barrow,1002,1990,2,February,Sunday
98,1990-03-04,Leigh,1106,1990,3,March,Sunday
99,1990-03-09,Castleford,4169,1990,3,March,Friday
100,1990-03-25,Salford,1121,1990,3,March,Sunday
101,1990-04-15,Hull,5856,1990,4,April,Sunday
102,1990-09-26,Wakefield,7984,1990,9,September,Wednesday
103,1990-09-30,Warrington,4920,1990,9,September,Sunday
104,1990-10-14,Oldham,5189,1990,10,October,Sunday
105,1990-10-30,Bradford,4119,1990,10,October,Tuesday
106,1990-11-18,Bradford,2788,1990,11,November,Sunday
107,1990-12-16,Leeds,4714,1990,12,December,Sunday
108,1990-12-23,St Helens,3111,1990,12,December,Sunday
109,1991-01-06,Wigan,4814,1991,1,January,Sunday
110,1991-01-20,Rochdale,2160,1991,1,January,Sunday
111,1991-01-30,Hull,2847,1991,1,January,Wednesday
112,1991-02-03,Featherstone,3206,1991,2,February,Sunday
113,1991-02-17,Featherstone,2910,1991,2,February,Sunday
114,1991-02-24,Salford,1990,1991,2,February,Sunday
115,1991-03-10,Castleford,3840,1991,3,March,Sunday
116,1991-03-24,Hull,3104,1991,3,March,Sunday
117,1991-03-31,Hull KR,2684,1991,3,March,Sunday
118,1991-04-06,Widnes,2578,1991,4,April,Saturday
119,1991-09-01,Oldham,3454,1991,9,September,Sunday
120,1991-09-16,Bradford,2012,1991,9,September,Monday
121,1991-10-06,Workington,1488,1991,10,October,Sunday
122,1991-10-23,Rochdale,1645,1991,10,October,Wednesday
123,1991-11-03,Scarborough,1226,1991,11,November,Sunday
124,1991-11-06,Carlisle,1228,1991,11,November,Wednesday
125,1991-12-15,Leigh,1913,1991,12,December,Sunday
126,1991-12-29,R-York,1702,1991,12,December,Sunday
127,1992-02-09,Hull,3227,1992,2,February,Sunday
128,1992-02-16,Workington,1531,1992,2,February,Sunday
129,1992-02-27,London C,1315,1992,2,February,Thursday
130,1992-03-01,Oldham,2529,1992,3,March,Sunday
131,1992-03-09,Rochdale,3849,1992,3,March,Monday
132,1992-03-22,Leigh,3228,1992,3,March,Sunday
133,1992-04-05,Carlisle,6393,1992,4,April,Sunday
134,1992-04-12,London C,1940,1992,4,April,Sunday
135,1992-04-19,R-York,2872,1992,4,April,Sunday
136,1992-04-25,Keighley,1225,1992,4,April,Saturday
137,1992-05-10,Batley,2512,1992,5,May,Sunday
138,1992-08-28,Wigan,5950,1992,8,August,Friday
139,1992-09-11,Halifax,3596,1992,9,September,Friday
140,1992-09-20,Bradford,4286,1992,9,September,Sunday
141,1992-10-04,Castleford,3896,1992,10,October,Sunday
142,1992-10-06,Hull,3017,1992,10,October,Tuesday
143,1992-10-14,Australia,5500,1992,10,October,Wednesday
144,1992-10-22,Warrington,1662,1992,10,October,Thursday
145,1992-11-15,Hull KR,1712,1992,11,November,Sunday
146,1992-11-22,Widnes,2158,1992,11,November,Sunday
147,1992-12-13,Leeds,4777,1992,12,December,Sunday
148,1993-01-06,Halifax,2404,1993,1,January,Wednesday
149,1993-01-24,Salford,2278,1993,1,January,Sunday
150,1993-01-31,Leigh,2408,1993,1,January,Sunday
151,1993-02-14,Widnes,3407,1993,2,February,Sunday
152,1993-02-19,Leigh,1982,1993,2,February,Friday
153,1993-03-12,Bradford,2842,1993,3,March,Friday
154,1993-03-28,Wakefield,3245,1993,3,March,Sunday
155,1993-04-11,Hull,2706,1993,4,April,Sunday
156,1993-09-05,Castleford,3046,1993,9,September,Sunday
157,1993-09-19,Halifax,4005,1993,9,September,Sunday
158,1993-10-03,Wakefield,3096,1993,10,October,Sunday
159,1993-10-10,Featherstone,3059,1993,10,October,Sunday
160,1993-10-31,Hull,2244,1993,10,October,Sunday
161,1993-11-28,Warrington,3284,1993,11,November,Sunday
162,1993-12-05,Leeds,3521,1993,12,December,Sunday
163,1993-12-22,Salford,1605,1993,12,December,Wednesday
164,1994-01-02,Hull KR,2151,1994,1,January,Sunday
165,1994-01-16,Bradford,3544,1994,1,January,Sunday
166,1994-01-30,Leigh,1676,1994,1,January,Sunday
167,1994-02-06,Oldham,2400,1994,2,February,Sunday
168,1994-03-11,St Helens,2729,1994,3,March,Friday
169,1994-03-27,Wigan,5465,1994,3,March,Sunday
170,1994-04-01,Leigh,1720,1994,4,April,Friday
171,1994-04-17,Widnes,2831,1994,4,April,Sunday
172,1994-08-23,Bradford,4672,1994,8,August,Tuesday
173,1994-09-18,Warrington,3037,1994,9,September,Sunday
