Timestamp,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,When did you last attend a game (home or away)?,What made you first start watching the Sheffield Eagles?,What is your favourite memory of the Sheffield Eagles? ,"Do you have any Sheffield Eagles memorabilia - old photographs, match day programmes, stickers, shirts, press cuttings etc - that you'd be willing to share with the project? If so please provide brief details. ","Can you quickly describe what the Sheffield Eagles means to you, this could be because you are a supporter, a player, a sponsor or an organisation that works with the Club. ",What are some of the stories that are part of the history of the Sheffield Eagles that you think deserve sharing to a wider audience? ,Which of the following would you be interested in taking part in? Please tick as many that apply. You aren't committing yourself to anything we just want to see what people might be interested in.,"What do you see as the possible benefits of a project like this, for you personally, the organisation you work for, rugby league in general or the club specifically? ",Do you think there is a need for a project like this? If so could you say what that need is.,Please let us have any other comments about the project. ,Are You? ,How old are you? ,How would you describe yourself,Could you provide your postcode? This will help us understand where people are responding from. ,,,
9/1/2021 14:05:26,A player or member of club staff,2011- 2021,Someone who attends games home or away on a regular basis,29 August 2021,"Student in Sheffield, was a St. Helens fan and decided to check out the Eagles whilst at university in the city",Winning the 1895 Cup,No,"My life really! Spend most of my time, both working / outside of work hours doing what needs to be done to hopefully improve the club and keep the organisation moving forward albeit the past few years the main job has been to keep the club alive, which I'm proud of having a hand in doing.","1895 Cup Win, The Supporters helping save the club in late 2016, The journey / stadiums the club has played at, the number of players that are still playing the game thanks to the previous Youth Development System.","Being part of the project steering group, Taking part in researching the history of the club, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications","Reaching a wider audience, gaining better 'cut-through' with the general population of Sheffield",Absolutely a club that has a short but rich history and is worth telling!,,Male,25-39,White,S70,,,
9/2/2021 9:23:44,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Last Sunday away at London,I had already been watching the game for a few years and it was because I now had a home town team to follow,Challenge Cup win in 98,Yes lots of shirts.,The club has been a major part of my life for nearly 40 years. It's been my main hobby since then.,"It would be good for some of the newer fans to learn about the early days, when the club almost didn't get off the ground due to the major sponsor going bust.","Taking part in researching the history of the club, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",It will educate people thinking of supporting the club and give them a basic history of the club.,To give the club a higher profile in the city and surrounding area and help grow the fan base,"No, I think everything has been covered.",Male,50-59,White,S2,,,
9/2/2021 9:25:42,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Win over Oldham at home ,Something the whole family could do together ,Winning league for the second time ,Lots of photos ,Togetherness & passion ,Endurance with little support from Council and other organisations ,Attending events and talks about the history of the club,Ability to show what the Eagles are about and what they have achieved ,Yes to preserve the history for future and to enable both the club and sport grow in the City ,,Male,50-59,White,S2,,,
9/2/2021 10:05:39,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Batley Away match,1988,Challenge cup final 1998,"Got replica shirts , Programmes , Signed shirt ",local rugby league Club,,"Being part of the project steering group, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club",,"Yes , Every club should have a heritage site ",,Male,50-59,White,S70,,,
9/2/2021 10:53:30,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Two weeks ago - Batley away.,Mum and Dad were big fans.,Back-to-back Grand Final wins.,Nothing from the past.,"The Eagles mean a lot to me as I've met some amazing people through them and enjoyed great times watching the different teams that have represented the club. More good times ahead, hopefully!","The years between 2014-2017 where we had a different ground every year and what it takes to keep the club going, despite finishing in the top four in 2015.","Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","It uncovers new stories that make Rugby League what it is - a truly amazing sport with amazing people at the forefront of it. We'll get to learn more about the players, fans, organisations and everyone and everything that have been a part of Eagles history.","Yes I think there is a need as there will be plenty of stories not out in the public domain that deserve to be. The more we learn about the Eagles, the more appetite there'll be for other clubs to do the same as us.",,Male,16-25,White,S5,,,
9/2/2021 11:46:01,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,,Powell and Aston being school coaches and providing free tickets to accompanied children.,Winning at Barrow in my first season to get to Old Trafford.,Many programmes and match reports.,My rugby league team. Season ticket holder. Shirt sponsorship. ,The struggle to stay alive on more than one occasion. ,Taking part in researching the history of the club,The club has an amazing record of survival against the odds. The RL “sold is to Huddersfield. The city took our stadium.  ,Yes. Club is always left out of consideration by the powers that be in Sheffield:,,Male,70 or older,White,YO15,,,
9/2/2021 12:43:46,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who occasionally attends home games,2019 home ,Was a ball boy,Winning promotion in 89 as was the first time we did achieve ,Loads just ask ,Everything to me It's my 2nd family it gave me a life I never dreamed off I was given roles I was honoured to be part of ,Hahah too many to put here ,"Taking part in researching the history of the club, Attending events and talks about the history of the club",Let's folks know about the history ,Yes everyone need to see the history of the Eagles ,If I can help in anyway just ask ,Male,50-59,White,PE29,,,
9/2/2021 12:59:24,A current Sheffield Eagles fan who attends games,2011- 2021,"season ticket holder- 2021, only matches @ Keepmoat",home to whitehaven,started when we moved to Sheffield as I love Rugby League,Winning at Wembley 2019,you can have my irregular collection of programmes ,"An amazing survivor with a strong sense of community, & a flagship, in a football area, for the great game of Rugby League","the re-birth, & the survival, since the Huddersfield amalgamation. In my 6 years of support I've seen the eagles play at 6 different 'home' venues (2 of them outside Sheffield). its a story of sustained determination not just to survive, but to develop,","Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Taking part in researching the history of the area","The benefit for the club & RL generally is that the sport is 'in crisis' (Sky funding; the re-arranged World Cup)  & we need to identify & promote our proud history- including how RL is uniquely, for a team sport, still linked (as England) from its grass roots community to its international team. For me the benefit is to valued & to be involved in something I value.",I think there is a  general need - across Sport & particularly RL (a nationally undervalued sport) - for projects like this- & specifically this project is needed to recognise (& promote & protect) a successful professional RL club with a unique history.,,Male,60-69,White,S6,,,
9/2/2021 13:01:18,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Keepmoat last month ,It was an alternative sport to watch.,Playoff win against swinton 43-18 at old Trafford (first silverware)  followed by Wembley ,Got the first programme and various other bits and pieces ,"I've grown up with the team, it's my team, it's been a rollercoaster ride and the highs always keep coming. ","Derek Bridgeman, a person with a significant disability making a massive impact on a tough sport ",Possible i have lots of draws on my time,I think anything that brings the remarkable story of the club to a wider audience is valuable. ,"Yes, it's a great story and could help to bring colour and interest to the new stadium ",,Male,50-59,White,S2,,,
9/2/2021 13:11:01,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Oldham,To support a Sheffield team,Challenge Cup Final and the Paris weekend,Probably programmes,On a par with my football team; important!,Mostly unrepeatable,Taking part in researching the history of the club,Limited in view of lack of fan support,Yes but not essential,,Male,70 or older,White,S11,,,
9/2/2021 13:13:19,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,27 June,Was close to work and handy when carrying out maintenance work to watch a match then return to work.,Challenge cup win,Not anymore,Chance to meet up with like minded friends,Playing against Australia - lost but first 20 minutes a competitive match,"Cataloguing, digitising and recording memorabilia","History of the club should not be forgotten. Many people may have old programmes, shirts etc. Be nice for the club to have a program for every home match - but where would you keep them? And would they be on display for supporters to see?",As above,Should be proud of the history of the club and should include the bad times as well as the good,Female,60-69,White,S26,,,
9/2/2021 13:27:48,A sponsor of the club,1984 - 1990,Someone who attends games home or away on a regular basis,Batley (away) August 2021,Was at the first game against Rochdale - played a little amateur RL,1895 Cup Final at Wembley (Didn't get there in 1998),"Framed ""Eagles Soar"" press cuttings from 1998 Challenge Cup final signed by both Paul Broadbent (captain) and Mark Aston (Lance Todd winner) - Unique ",South Yorkshire's bastion for Rugby League (due respect to Doncaster) - the country's 4th largest city has to have a RL team at the highest level possible.,The loyal following the Eagles have is both informed and passionate - they deserve better.,Being part of the project steering group,The potential for Rugby League on a commercial basis is untapped - success will breed success. Realistic gates of 1500-2000 on a regular basis are achievable as we develop at recognised home in the city at the OLP.,"Increases profile, public perception and expectations. Aspiration is everything in any sport.",Go for it - I'll will contribute where I can if it is felt to be appropriate.,Male,60-69,White,S7,,,
9/2/2021 13:49:53,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who doesn't attend games but follows the results,2018,Started playing rugby at 16 and went from there,Wembley 1998,,A sense of belonging. No matter who you are you are part of the club.,,"Being part of the project steering group, Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",It's important for the history of the club to be recorded properly for future generations of supporters. ,,,Female,40-49,White,S3,,,
9/2/2021 14:31:22,A Sheffield Eagles fan who no longer attends games,1991 - 2000,Someone who occasionally attends home games,2019,First promotion to the old first division and the publicity in Sheffield that followed it,1998 challenge cup final win,I definitely have a flat from the 1998 final. Other things are in the loft and I will need to look,Eagles introduced me to RL. I went with my wife and then took my three children.,The close connections to the fans. The determination to survive. ,"Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",To record the involvement of people from top to bottom to show the meaning of RL  clubs to a wider audience,Yes to show what people did as individuals and as part of a group to create and keep a club running in adversity,,Male,50-59,White,BB4,,,
