Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,Are You? ,How old are you? ,How would you describe yourself,Postcode,Latitude,Longitude
A player or member of club staff,2011- 2021,Someone who attends games home or away on a regular basis,Male,25-39,White,S70,53.5412012117922,-1.47491682777347
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,50-59,White,S2,53.3696017349643,-1.4478789745158
A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,50-59,White,S2,53.3696017349643,-1.4478789745158
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Male,50-59,White,S70,53.5412012117922,-1.47491682777347
A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,16-25,White,S5,53.4222641463879,-1.46330644676806
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Male,70 or older,White,YO15,54.0947577924152,-0.177331924151696
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who occasionally attends home games,Male,50-59,White,PE29,52.3321348294345,-0.178912746588696
A current Sheffield Eagles fan who attends games,2011- 2021,"season ticket holder- 2021, only matches @ Keepmoat",Male,60-69,White,S6,53.4029378722717,-1.51308651010509
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,50-59,White,S2,53.3696017349643,-1.4478789745158
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,70 or older,White,S11,53.3607688694992,-1.5078954491654
A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Female,60-69,White,S26,53.3520526630037,-1.29096045787546
A sponsor of the club,1984 - 1990,Someone who attends games home or away on a regular basis,Male,60-69,White,S7,53.3551646986755,-1.49104566887417
A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who doesn't attend games but follows the results,Female,40-49,White,S3,53.3872091007604,-1.4741900513308
A Sheffield Eagles fan who no longer attends games,1991 - 2000,Someone who occasionally attends home games,Male,50-59,White,BB4,53.703824628167,-2.2916974418778
A player or member of club staff,1984 - 1990,kitman,Male,60-69,White,S6,53.4029378722717,-1.51308651010509
A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Female,40-49,White,S60,53.4119988231481,-1.35101599166667
A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Female,16-25,White,S9,53.3981479577465,-1.41769494366197
A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who used to attend games,Male,50-59,White,CM23,51.8723763052351,0.158256372670807
Former player and Academic who may be able to help,1984 - 1990,Former player with an interest in the Clubs development,Male,50-59,Other,DL8,54.2926294965398,-1.78474448269896
