Season,Match Date,Home Score,Home Team,Away Score,Away Team,Competition,Attendance,Venue,Referee
1984-85,"Sunday, 2nd September 1984",29,Sheffield Eagles,10,Rochdale Hornets,League 2,1425,"Owlerton Stadium, Sheffield, England",Fred Lindop
1984-85,"Sunday, 9th September 1984",14,Sheffield Eagles,18,Fulham,League 2,1145,"Owlerton Stadium, Sheffield, England",Jeff Croft
1984-85,"Thursday, 20th September 1984",13,Runcorn Highfield,6,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 23rd September 1984",6,Sheffield Eagles,13,Salford,League 2,1159,"Owlerton Stadium, Sheffield, England",John McDonald
1984-85,"Sunday, 30th September 1984",18,Doncaster,10,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 7th October 1984",18,Batley,28,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 14th October 1984",20,Sheffield Eagles,14,Runcorn Highfield,League 2,1076,"Owlerton Stadium, Sheffield, England",Paul Volante
1984-85,"Sunday, 21st October 1984",27,Blackpool Borough,10,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 28th October 1984",26,Sheffield Eagles,10,Bridgend,League 2,826,"Owlerton Stadium, Sheffield, England",Cliff Hodgson
1984-85,"Sunday, 4th November 1984",17,Sheffield Eagles,6,Wakefield Trinity,League Cup Preliminary (64),1279,"Owlerton Stadium, Sheffield, England",Robin Whitfield
1984-85,"Sunday, 11th November 1984",2,Sheffield Eagles,15,Dewsbury,League 2,909,"Owlerton Stadium, Sheffield, England",Stan Wall
1984-85,"Sunday, 18th November 1984",50,Leeds,2,Sheffield Eagles,League Cup 1 (32),,,
1984-85,"Sunday, 25th November 1984",22,Whitehaven,19,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 2nd December 1984",4,Sheffield Eagles,30,Batley,League 2,835,"Owlerton Stadium, Sheffield, England",Jim Smith
1984-85,"Sunday, 9th December 1984",16,Keighley,9,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 16th December 1984",8,Sheffield Eagles,13,Blackpool Borough,League 2,513,"Owlerton Stadium, Sheffield, England",Kevin Allatt
1984-85,"Sunday, 23rd December 1984",50,Salford,16,Sheffield Eagles,League 2,,,
1984-85,"Wednesday, 26th December 1984",26,Mansfield Marksman,20,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 30th December 1984",24,Sheffield Eagles,12,Doncaster,League 2,803,"Owlerton Stadium, Sheffield, England",John Kendrew
1984-85,"Wednesday, 23rd January 1985",14,Swinton,8,Sheffield Eagles,League 2,Burnden Park Bolton  England,Referee:  Unknown,
1984-85,"Sunday, 3rd February 1985",12,Rochdale Hornets,10,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 17th February 1985",19,Sheffield Eagles,54,Warrington,Challenge Cup 1 (32),1479,"Owlerton Stadium, Sheffield, England",Derek Fox
1984-85,"Sunday, 24th February 1985",28,Bridgend,12,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 10th March 1985",16,Sheffield Eagles,11,Carlisle,League 2,610,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1984-85,"Sunday, 17th March 1985",15,Dewsbury,7,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 24th March 1985",32,Carlisle,16,Sheffield Eagles,League 2,,,
1984-85,"Friday, 29th March 1985",2,Sheffield Eagles,34,Swinton,League 2,1146,"Millmoor, Rotherham, England",John Holdsworth
1984-85,"Friday, 5th April 1985",10,Sheffield Eagles,30,Mansfield Marksman,League 2,594,"Owlerton Stadium, Sheffield, England",Gerry Kershaw
1984-85,"Wednesday, 17th April 1985",34,Sheffield Eagles,15,Keighley,League 2,628,"Owlerton Stadium, Sheffield, England",Geoff Berry
1984-85,"Sunday, 21st April 1985",40,Fulham,30,Sheffield Eagles,League 2,,,
1984-85,"Sunday, 28th April 1985",28,Sheffield Eagles,26,Whitehaven,League 2,714,"Owlerton Stadium, Sheffield, England",John Kendrew
1985-86,"Sunday, 1st September 1985",16,Sheffield Eagles,20,Doncaster,League 2,504,"Owlerton Stadium, Sheffield, England",Fred Lindop
1985-86,"Wednesday, 4th September 1985",38,Castleford,6,Sheffield Eagles,Yorkshire Cup Preliminary (32),,,
1985-86,"Sunday, 8th September 1985",10,Hunslet,22,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 15th September 1985",34,Sheffield Eagles,12,Mansfield Marksman,League 2,609,"Owlerton Stadium, Sheffield, England",Jim Smith
1985-86,"Wednesday, 18th September 1985",32,Leigh,18,Sheffield Eagles,League 2,2395,,
1985-86,"Sunday, 22nd September 1985",6,Sheffield Eagles,28,Wakefield Trinity,League 2,1242,"Owlerton Stadium, Sheffield, England",Ronnie Campbell
1985-86,"Sunday, 6th October 1985",21,Sheffield Eagles,10,Runcorn Highfield,League 2,496,"Owlerton Stadium, Sheffield, England",Mick Beaumont
1985-86,"Sunday, 13th October 1985",13,Bramley,10,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 20th October 1985",12,Sheffield Eagles,40,Rochdale Hornets,League 2,1658,"Owlerton Stadium, Sheffield, England",Ray Tennant
1985-86,"Sunday, 27th October 1985",8,Wakefield Trinity,6,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 3rd November 1985",22,Sheffield Eagles,9,Keighley,League 2,514,"Owlerton Stadium, Sheffield, England",Dave Carter
1985-86,"Sunday, 10th November 1985",15,Runcorn Highfield,10,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 17th November 1985",8,Sheffield Eagles,9,Whitehaven,League 2,714,"Owlerton Stadium, Sheffield, England",Paul Volante
1985-86,"Sunday, 24th November 1985",16,Sheffield Eagles,24,Bradford Northern,League Cup 1 (32),1342,"Owlerton Stadium, Sheffield, England",Brian Simpson
1985-86,"Sunday, 1st December 1985",14,Mansfield Marksman,14,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 8th December 1985",28,Fulham,21,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 15th December 1985",26,Sheffield Eagles,16,Hunslet,League 2,645,"Owlerton Stadium, Sheffield, England",Paul Houghton
1985-86,"Sunday, 22nd December 1985",8,Workington Town,26,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 12th January 1986",2,Sheffield Eagles,14,Bramley,League 2,400,"Owlerton Stadium, Sheffield, England",Fred Lindop
1985-86,"Sunday, 19th January 1986",2,Sheffield Eagles,16,Leigh,League 2,1000,"Owlerton Stadium, Sheffield, England",Jim Smith
1985-86,"Wednesday, 22nd January 1986",24,Rochdale Hornets,4,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 2nd February 1986",25,Blackpool Borough,12,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 9th February 1986",62,Warrington,11,Sheffield Eagles,Challenge Cup 1 (32),,,
1985-86,"Sunday, 9th March 1986",22,Huddersfield Barracudas,32,Sheffield Eagles,League 2,,,
